Date,CPI,Year,Month,Wage,CPI_Percentage,Wage_Percentage
2000-01-01,94,2000,1,16.66,NA,NA
2000-02-01,94.6,2000,2,16.66,0.6382978723404196,NA
2000-03-01,95.3,2000,3,16.66,0.7399577167019058,NA
2000-04-01,95,2000,4,16.66,-0.3147953830010463,NA
2000-05-01,95.4,2000,5,16.66,0.42105263157895334,NA
2000-06-01,96,2000,6,16.66,0.6289308176100569,NA
2000-07-01,96.3,2000,7,16.66,0.312499999999997,NA
2000-08-01,96.2,2000,8,16.66,-0.10384215991692038,NA
2000-09-01,96.6,2000,9,16.66,0.4158004158004069,NA
2000-10-01,96.8,2000,10,16.66,0.20703933747412304,NA
2000-11-01,97.1,2000,11,16.66,0.3099173553718979,NA
2000-12-01,97.2,2000,12,16.66,0.10298661174048251,NA
2001-01-01,96.8,2001,1,17.22,-0.4115226337448618,3.361344537815118
2001-02-01,97.3,2001,2,17.22,0.5165289256198348,3.361344537815118
2001-03-01,97.6,2001,3,17.22,0.3083247687564205,3.361344537815118
2001-04-01,98.2,2001,4,17.22,0.6147540983606645,3.361344537815118
2001-05-01,99,2001,5,17.22,0.8146639511201601,3.361344537815118
2001-06-01,99.1,2001,6,17.22,0.10101010101009526,3.361344537815118
2001-07-01,98.8,2001,7,17.22,-0.3027245206861727,3.361344537815118
2001-08-01,98.8,2001,8,17.22,0,3.361344537815118
2001-09-01,99,2001,9,17.22,0.2024291497975737,3.361344537815118
2001-10-01,98.5,2001,10,17.22,-0.5050505050505051,3.361344537815118
2001-11-01,97.5,2001,11,17.22,-1.015228426395939,3.361344537815118
2001-12-01,97.7,2001,12,17.22,0.20512820512820804,3.361344537815118
2002-01-01,97.9,2002,1,17.66,0.20470829068577567,2.555168408826953
2002-02-01,98.5,2002,2,17.66,0.6128702757916182,2.555168408826953
2002-03-01,99.1,2002,3,17.66,0.6091370558375577,2.555168408826953
2002-04-01,99.6,2002,4,17.66,0.5045408678102926,2.555168408826953
2002-05-01,99.8,2002,5,17.66,0.20080321285140845,2.555168408826953
2002-06-01,99.9,2002,6,17.66,0.10020040080161176,2.555168408826953
2002-07-01,100.3,2002,7,17.66,0.4004004004003918,2.555168408826953
2002-08-01,100.7,2002,8,17.66,0.3988035892323088,2.555168408826953
2002-09-01,100.7,2002,9,17.66,0,2.555168408826953
2002-10-01,101,2002,10,17.66,0.2979145978152901,2.555168408826953
2002-11-01,101.3,2002,11,17.66,0.29702970297029424,2.555168408826953
2002-12-01,100.9,2002,12,17.66,-0.3948667324777803,2.555168408826953
2003-01-01,101.8,2003,1,18.05,0.8919722497522214,2.208380520951305
2003-02-01,102.6,2003,2,18.05,0.7858546168958714,2.208380520951305
2003-03-01,102.9,2003,3,18.05,0.29239766081872454,2.208380520951305
2003-04-01,102.2,2003,4,18.05,-0.6802721088435402,2.208380520951305
2003-05-01,102.3,2003,5,18.05,0.09784735812132517,2.208380520951305
2003-06-01,102.3,2003,6,18.05,0,2.208380520951305
2003-07-01,102.4,2003,7,18.05,0.09775171065494481,2.208380520951305
2003-08-01,102.7,2003,8,18.05,0.2929687499999972,2.208380520951305
2003-09-01,102.9,2003,9,18.05,0.19474196689386838,2.208380520951305
2003-10-01,102.6,2003,10,18.05,-0.2915451895043842,2.208380520951305
2003-11-01,102.9,2003,11,18.05,0.29239766081872454,2.208380520951305
2003-12-01,103,2003,12,18.05,0.09718172983478553,2.208380520951305
2004-01-01,103.1,2004,1,18.5,0.09708737864077117,2.4930747922437635
2004-02-01,103.3,2004,2,18.5,0.19398642095053625,2.4930747922437635
2004-03-01,103.6,2004,3,18.5,0.29041626331074266,2.4930747922437635
2004-04-01,103.8,2004,4,18.5,0.1930501930501958,2.4930747922437635
2004-05-01,104.7,2004,5,18.5,0.8670520231213927,2.4930747922437635
2004-06-01,104.8,2004,6,18.5,0.09551098376312732,2.4930747922437635
2004-07-01,104.7,2004,7,18.5,-0.09541984732823885,2.4930747922437635
2004-08-01,104.5,2004,8,18.5,-0.19102196752626824,2.4930747922437635
2004-09-01,104.7,2004,9,18.5,0.19138755980861516,2.4930747922437635
2004-10-01,104.9,2004,10,18.5,0.19102196752626824,2.4930747922437635
2004-11-01,105.3,2004,11,18.5,0.3813155386081901,2.4930747922437635
2004-12-01,105.1,2004,12,18.5,-0.1899335232668593,2.4930747922437635
2005-01-01,105,2005,1,19.09,-0.09514747859181191,3.1891891891891886
2005-02-01,105.4,2005,2,19.09,0.38095238095238637,3.1891891891891886
2005-03-01,106,2005,3,19.09,0.5692599620493305,3.1891891891891886
2005-04-01,106.3,2005,4,19.09,0.28301886792452563,3.1891891891891886
